TOP
b'$GPRMC,204819.000,A,4337.4783,N,11615.0604,W,0.60,320.08,190516,,,A*74\r\n'
b'$GPRMC,204820.000,A,4337.4783,N,11615.0608,W,0.42,280.74,190516,,,A*72\r\n'
b'$GPRMC,204821.000,A,4337.4783,N,11615.0609,W,0.34,263.33,190516,,,A*7D\r\n'
b'$GPRMC,204822.000,A,4337.4785,N,11615.0610,W,0.34,321.75,190516,,,A*75\r\n'
b'$GPRMC,204823.000,A,4337.4788,N,11615.0612,W,0.50,315.05,190516,,,A*79\r\n'
b'$GPRMC,204824.000,A,4337.4789,N,11615.0614,W,0.19,31.96,190516,,,A*4B\r\n'
b'$GPRMC,204825.000,A,4337.4789,N,11615.0613,W,0.12,109.38,190516,,,A*78\r\n'
b'$GPRMC,204826.000,A,4337.4789,N,11615.0613,W,0.17,168.92,190516,,,A*79\r\n'
b'$GPRMC,204827.000,A,4337.4789,N,11615.0613,W,0.17,247.15,190516,,,A*79\r\n'
b'$GPRMC,204828.000,A,4337.4788,N,11615.0613,W,0.59,266.98,190516,,,A*7B\r\n'
b'$GPRMC,204829.000,A,4337.4788,N,11615.0619,W,0.99,262.04,190516,,,A*7D\r\n'
b'$GPRMC,204830.000,A,4337.4788,N,11615.0624,W,0.97,259.53,190516,,,A*7F\r\n'
b'$GPRMC,204831.000,A,4337.4787,N,11615.0628,W,0.71,246.48,190516,,,A*71\r\n'
b'$GPRMC,204832.000,A,4337.4788,N,11615.0630,W,0.36,223.59,190516,,,A*74\r\n'
b'$GPRMC,204833.000,A,4337.4788,N,11615.0632,W,0.32,222.10,190516,,,A*7F\r\n'
b'$GPRMC,204834.000,A,4337.4792,N,11615.0631,W,0.31,287.79,190516,,,A*73\r\n'
b'$GPRMC,204835.000,A,4337.4795,N,11615.0628,W,0.11,306.88,190516,,,A*79\r\n'
b'$GPRMC,204836.000,A,4337.4795,N,11615.0628,W,0.08,138.87,190516,,,A*72\r\n'
b'$GPRMC,204837.000,A,4337.4795,N,11615.0628,W,0.30,258.75,190516,,,A*70\r\n'
b'$GPRMC,204838.000,A,4337.4795,N,11615.0629,W,0.06,18.79,190516,,,A*41\r\n'
b'$GPRMC,204839.000,A,4337.4795,N,11615.0629,W,0.14,324.13,190516,,,A*73\r\n'
b'$GPRMC,204840.000,A,4337.4795,N,11615.0629,W,0.24,293.87,190516,,,A*7E\r\n'
b'$GPRMC,204841.000,A,4337.4796,N,11615.0630,W,0.43,308.88,190516,,,A*79\r\n'
b'$GPRMC,204842.000,A,4337.4796,N,11615.0631,W,0.40,17.79,190516,,,A*4B\r\n'
b'$GPRMC,204843.000,A,4337.4798,N,11615.0630,W,0.44,22.91,190516,,,A*41\r\n'
b'$GPRMC,204844.000,A,4337.4799,N,11615.0630,W,0.30,349.31,190516,,,A*70\r\n'
b'$GPRMC,204845.000,A,4337.4799,N,11615.0630,W,0.26,20.03,190516,,,A*4B\r\n'
b'$GPRMC,204846.000,A,4337.4800,N,11615.0630,W,0.23,160.72,190516,,,A*71\r\n'
b'$GPRMC,204847.000,A,4337.4799,N,11615.0630,W,0.38,218.56,190516,,,A*7F\r\n'
b'$GPRMC,204848.000,A,4337.4799,N,11615.0630,W,0.63,239.18,190516,,,A*77\r\n'
b'$GPRMC,204849.000,A,4337.4798,N,11615.0629,W,0.11,291.08,190516,,,A*79\r\n'
b'$GPRMC,204850.000,A,4337.4795,N,11615.0627,W,0.38,109.24,190516,,,A*75\r\n'
